10000001|Carson Phoon|0123456789|carson@gmail.com|BK0001|101|2026-07-01|2026-07-03|Checked In
10000002|Ze Kai|0112233445|zekai@gmail.com|BK0002|102|2026-07-02|2026-07-04|Reserved
10000003|Zhi Jie|0178899001|zhijie@gmail.com|BK0003|201|2026-07-05|2026-07-08|Checked Out
10000004|Xian Bing|0187654321|xianbing@gmail.com|BK0004|202|2026-07-06|2026-07-08|Checked In
10000005|David Wong|0198888777|david@gmail.com|BK0005|301|2026-07-07|2026-07-09|Reserved
10000006|Sarah Ng|0129988776|sarah@gmail.com|BK0006|302|2026-07-08|2026-07-10|Checked Out
10000007|Kevin Chan|0166677889|kevin@gmail.com|BK0007|401|2026-07-09|2026-07-11|Reserved
10000008|Emily Goh|0134455667|emily@gmail.com|BK0008|402|2026-07-10|2026-07-12|Checked Out
10000009|Jason Yap|0115566778|jason@gmail.com|BK0009|501|2026-07-11|2026-07-13|Checked Out
10000010|Michelle Teo|0183344556|michelle@gmail.com|BK0010|502|2026-07-12|2026-07-14|Checked In
10000011|Ryan Koh|0123456780|ryan@gmail.com|BK0011|601|2026-07-15|2026-07-18|Checked Out
10000012|Jessica Lim|0198765432|jessica@gmail.com|BK0012|103|2026-07-18|2026-07-20|Checked Out
10000013|Daniel Lee|0167890123|daniel@gmail.com|BK0013|203|2026-07-20|2026-07-23|Checked In
10000014|Wei Jie|0134567890|weijie@gmail.com|BK0014|303|2026-07-22|2026-07-24|Reserved
10000015|Amanda Chen|0189012345|amanda@gmail.com|BK0015|403|2026-07-25|2026-07-28|Reserved
10000016|Brian Ng|0112233440|brian@gmail.com|BK0016|104|2026-07-28|2026-07-30|Checked In
10000017|Sophie Wang|0176543210|sophie@gmail.com|BK0017|204|2026-07-30|2026-08-27|Checked Out
10000018|Marcus Low|0165432109|marcus@gmail.com|BK0018|304|2026-08-01|2026-08-03|Reserved
10000019|Chloe Yap|0190123456|chloe@gmail.com|BK0019|404|2026-08-03|2026-08-06|Reserved
10000020|Ethan Tan|0128765432|ethan@gmail.com|BK0020|503|2026-08-05|2026-08-08|Reserved
10000021|Super Man|0162323232|superman@gmail.com|BK0021|604|2026-08-27|2026-08-28|Checked In
10000022|adawqgeg|121211212121|121@gmail|BK0022|102|2026-08-28|2026-08-28|Checked Out
10000023|GEWSGEWJHV|1212213214455|ADC@GMAIL|BK0023|201|2026-08-28|2026-08-31|Checked In
